,Series_Title,Released_Year,Genre,Overview,IMDB_Rating,Director,Stars
642,The Count of Monte Cristo,2002,action adventur drama,young man fals imprison jealou friend escap use hidden treasur exact reveng,7.8,kevin reynold,jim caviezel guy pearc christoph adamson jb blanc
643,Waking Life,2001,anim drama fantasi,man shuffl dream meet variou peopl discuss mean purpos univers,7.8,richard linklat,ethan hawk trevor jack brook lorelei linklat wiley wiggin
644,Remember the Titans,2000,biographi drama sport,true stori newli appoint africanamerican coach high school team season racial integr unit,7.8,boaz yakin,denzel washington patton wood harri ryan hurst
645,Wo hu cang long,2000,action adventur fantasi,young chines warrior steal sword fame swordsman escap world romant adventur mysteri man frontier nation,7.8,ang lee,yunfat chow michel yeoh ziyi zhang chen chang
646,Todo sobre mi madre,1999,drama,young esteban want writer discov ident second mother tran woman care conceal mother manuela,7.8,pedro almodóvar,cecilia roth marisa pared candela peña antonia san juan
647,Cast Away,2000,adventur drama romanc,fedex execut undergo physic emot transform crash land desert island,7.8,robert zemecki,tom hank helen hunt paul sanchez lari white
648,The Boondock Saints,1999,action crime thriller,irish cathol brother vigilant wipe boston crimin underworld god,7.8,troy duffi,willem dafo sean patrick flaneri norman reedu david della rocco
649,The Insider,1999,biographi drama thriller,research chemist come person profession attack decid appear minut exposé big tobacco,7.8,michael mann,russel crow al pacino christoph plummer dian venora
650,October Sky,1999,biographi drama famili,true stori homer hickam coal miner son inspir sputnik launch rocketri father wish,7.8,joe johnston,jake gyllenha chri cooper laura dern chri owen
651,Shrek,2001,anim adventur comedi,mean lord exil fairytal creatur swamp grumpi ogr quest rescu princess lord order land,7.8,andrew adamson,vicki jenson mike myer eddi murphi cameron diaz
652,Titanic,1997,drama romanc,seventeenyearold aristocrat fall love kind poor artist aboard luxuri illfat rm titan,7.8,jame cameron,leonardo dicaprio kate winslet billi zane kathi bate
653,Hana-bi,1997,crime drama romanc,nishi leav polic face harrow person profession difficulti spiral depress make question decis,7.8,takeshi kitano,takeshi kitano kayoko kishimoto ren osugi susumu terajima
654,Gattaca,1997,drama scifi thriller,genet inferior man assum ident superior order pursu lifelong dream space travel,7.8,andrew niccol,ethan hawk uma thurman jude law gore vidal
655,The Game,1997,action drama mysteri,wealthi banker given opportun particip mysteri game life turn upsid unabl distinguish game realiti,7.8,david fincher,michael dougla deborah kara unger sean penn jame rebhorn
656,Breaking the Waves,1996,drama,oilman jan paralyz accid wife pray return feel guilti jan urg sex,7.8,lar von trier,emili watson stellan skarsgård katrin cartlidg jeanmarc barr
657,Ed Wood,1994,biographi comedi drama,ambiti troubl movi director edward d wood jr tri best fulfil dream despit lack talent,7.8,tim burton,johnni depp martin landau sarah jessica parker patricia arquett
658,What's Eating Gilbert Grape,1993,drama,young man small midwestern town struggl care mentallydis younger brother morbidli obes mother attempt pursu happi,7.8,lass hallström,johnni depp leonardo dicaprio juliett lewi mari steenburgen
659,Tombstone,1993,action biographi drama,success lawman plan retir anonym tombston arizona disrupt kind outlaw famou elimin,7.8,georg p cosmato,kevin jarr kurt russel val kilmer sam elliott
660,The Sandlot,1993,comedi drama famili,summer new kid town taken wing young basebal prodigi rowdi team result adventur,7.8,david mickey evan,tom guiri mike vitar art lafleur patrick renna
661,The Remains of the Day,1993,drama romanc,butler sacrif bodi soul servic year lead world war ii realiz late misguid loyalti lordli employ,7.8,jame ivori,anthoni hopkin emma thompson john haycraft christoph reev
662,Naked,1993,comedi drama,parallel tale sexual obsess men hurt annoy women physic mental wander citi talk stranger experienc dimens life,7.8,mike leigh,david thewli lesley sharp katrin cartlidg greg cruttwel
663,The Fugitive,1993,action crime drama,dr richard kimbl unjustli accus murder wife real killer target nationwid manhunt led season marshal,7.8,andrew davi,harrison ford tommi lee jone sela ward juliann moor
664,A Bronx Tale,1993,crime drama romanc,father worri local gangster befriend son bronx s,7.8,robert niro,robert niro chazz palminteri lillo brancato franci capra
665,Batman: Mask of the Phantasm,1993,anim action crime,batman wrongli implic seri murder mob boss actual new vigilant assassin,7.8,kevin altieri,boyd kirkland frank paur dan riba eric radomski
666,Lat sau san taam,1992,action crime thriller,toughasnail cop team undercov agent shut sinist mobster crew,7.8,john woo,yunfat chow toni chiuwai leung teresa mo philip chan
667,Night on Earth,1991,comedi drama,antholog differ cab driver american european citi remark fare event night,7.8,jim jarmusch,winona ryder gena rowland lisann falk alan randolph scott
668,La double vie de Véronique,1991,drama fantasi music,parallel stori ident women live poland franc dont know live profoundli connect,7.8,krzysztof kieslowski,irèn jacob wladyslaw kowalski halina gryglaszewska kalina jedrusik
669,Boyz n the Hood,1991,crime drama,follow live young male live crenshaw ghetto lo angel dissect question race relationship violenc futur prospect,7.8,john singleton,cuba good jr laurenc fishburn hudhail alamir lloyd averi ii
670,Misery,1990,drama thriller,famou author rescu car crash fan novel come realiz care receiv begin nightmar captiv abus,7.8,rob reiner,jame caan kathi bate richard farnsworth franc sternhagen
671,Awakenings,1990,biographi drama,victim enceph epidem year ago cataton new drug offer prospect reviv,7.8,penni marshal,robert niro robin william juli kavner ruth nelson
672,Majo no takkyûbin,1989,anim adventur drama,young witch mandatori year independ life find fit new commun difficult support run air courier servic,7.8,hayao miyazaki,kirsten dunst minami takayama rei sakuma kappei yamaguchi
673,Glory,1989,biographi drama histori,robert gould shaw lead civil war allblack volunt compani fight prejudic union armi confeder,7.8,edward zwick,matthew broderick denzel washington cari elw morgan freeman
674,Dip huet seung hung,1989,action crime drama,disillus assassin accept hit hope use earn restor vision singer accident blind,7.8,john woo,yunfat chow danni lee salli yeh kong chu
675,Back to the Future Part II,1989,adventur comedi scifi,visit marti mcfli repeat visit prevent disastr chang interf trip,7.8,robert zemecki,michael j fox christoph lloyd lea thompson thoma f wilson
676,Mississippi Burning,1988,crime drama histori,fbi agent wildli differ style arriv mississippi investig disappear civil right activist,7.8,alan parker,gene hackman willem dafo franc mcdormand brad dourif
677,Predator,1987,action adventur scifi,team commando mission central american jungl hunt extraterrestri warrior,7.8,john mctiernan,arnold schwarzenegg carl weather kevin peter hall elpidia carrillo
678,Evil Dead II,1987,action comedi fantasi,lone survivor onslaught fleshpossess spirit hole cabin group stranger demon continu attack,7.8,sam raimi,bruce campbel sarah berri dan hick kassi wesley depaiva
679,Ferris Bueller's Day Off,1986,comedi,high school wise guy determin day school despit princip think,7.8,john hugh,matthew broderick alan ruck mia sara jeffrey jone
680,Down by Law,1986,comedi crime drama,men frame sent jail meet murder help escap leav state,7.8,jim jarmusch,tom wait john luri roberto benigni nicoletta braschi
681,The Goonies,1985,adventur comedi famili,group young misfit call gooni discov ancient map set adventur legendari pirat longlost treasur,7.8,richard donner,sean astin josh brolin jeff cohen corey feldman
682,The Color Purple,1985,drama,black southern woman struggl ident suffer abus father decad,7.8,steven spielberg,danni glover whoopi goldberg oprah winfrey margaret averi
683,The Breakfast Club,1985,comedi drama,high school student meet saturday detent discov lot common thought,7.8,john hugh,emilio estevez judd nelson molli ringwald alli sheedi
684,The Killing Fields,1984,biographi drama histori,journalist trap cambodia tyrant pol pot bloodi year zero cleans campaign claim live million undesir civilian,7.8,roland joffé,sam waterston ha s ngor john malkovich julian sand
685,Ghostbusters,1984,action comedi fantasi,parapsycholog professor set shop uniqu ghost remov servic,7.8,ivan reitman,murray dan aykroyd sigourney weaver harold rami
686,The Right Stuff,1983,adventur biographi drama,stori origin mercuri astronaut macho seatofthep approach space program,7.8,philip kaufman,sam shepard scott glenn ed harri denni quaid
687,The King of Comedy,1982,comedi crime drama,rupert pupkin passion unsuccess comic crave spotlight achiev stalk kidnap idol spotlight,7.8,martin scorses,robert niro jerri lewi diahnn abbott sandra bernhard
688,E.T. the Extra-Terrestrial,1982,famili scifi,troubl child summon courag help friendli alien escap earth return home world,7.8,steven spielberg,henri thoma drew barrymor peter coyot dee wallac
689,Kramer vs. Kramer,1979,drama,ted kramer wife leav allow lost bond rediscov ted son billi heat custodi battl ensu divorc coupl son deepen wound left separ,7.8,robert benton,dustin hoffman meryl streep jane alexand justin henri
690,Days of Heaven,1978,drama romanc,hottemp farm labor convinc woman love marri rich die boss claim fortun,7.8,terrenc malick,richard gere brook adam sam shepard linda manz
691,The Outlaw Josey Wales,1976,western,missouri farmer josey wale join confeder guerrilla unit wind run union soldier murder famili,7.8,clint eastwood,clint eastwood sondra lock chief dan georg mckinney
692,The Man Who Would Be King,1975,adventur histori war,british soldier decid set king kafiristan land white man set foot alexand great,7.8,john huston,sean conneri michael cain christoph plummer saeed jaffrey
693,The Conversation,1974,drama mysteri thriller,paranoid secret surveil expert crisi conscienc suspect coupl spi murder,7.8,franci ford coppola,gene hackman john cazal allen garfield freder forrest
694,La planète sauvage,1973,anim scifi,faraway planet blue giant rule oppress humanoid rebel machinelik leader,7.8,rené laloux,barri bostwick jennif drake eric baugin jean topart
695,The Day of the Jackal,1973,crime drama thriller,profession assassin codenam jackal plot kill charl gaull presid franc,7.8,fred zinnemann,edward fox terenc alexand michel auclair alan badel
696,Badlands,1973,action crime drama,impression teenag girl deadend town older greaser boyfriend embark kill spree south dakota badland,7.8,terrenc malick,martin sheen sissi spacek warren oat ramon bieri
697,Cabaret,1972,drama music music,femal girli club entertain weimar republ era berlin romanc men nazi parti rise power,7.8,bob foss,liza minnelli michael york helmut griem joel grey
698,Willy Wonka & the Chocolate Factory,1971,famili fantasi music,poor hope boy seek covet golden ticket send tour willi wonka mysteri chocol factori,7.8,mel stuart,gene wilder jack albertson peter ostrum roy kinnear
699,Midnight Cowboy,1969,drama,naiv hustler travel texa new york citi seek person fortun find new friend process,7.8,john schlesing,dustin hoffman jon voight sylvia mile john mcgiver
700,Wait Until Dark,1967,thriller,recent blind woman terror trio thug search heroinstuf doll believ apart,7.8,terenc young,audrey hepburn alan arkin richard crenna efrem zimbalist jr
701,Guess Who's Coming to Dinner,1967,comedi drama,coupl attitud challeng daughter introduc africanamerican fiancé,7.8,stanley kramer,spencer traci sidney poitier katharin hepburn katharin houghton
702,Bonnie and Clyde,1967,action biographi crime,bore waitress bonni parker fall love excon name clyde barrow start violent crime spree countri steal car rob bank,7.8,arthur penn,warren beatti fay dunaway michael j pollard gene hackman
703,My Fair Lady,1964,drama famili music,snobbish phonet professor henri higgin agre wager make flower girl eliza doolittl present high societi,7.8,georg cukor,audrey hepburn rex harrison stanley holloway wilfrid hydewhit
